,Coordinate,Distance,Predicted Class,Original Class
1,"[24, 17]",26.0,0.5563963651657104,0.4430828392505646
2,"[6, 15]",,,
3,"[6, 16]",,,
4,"[23, 18]",26.0,0.5094047784805298,0.4901364743709564
5,"[21, 22]",,,
6,"[23, 17]",30.0,0.5110822319984436,0.488386869430542
7,"[23, 16]",41.0,0.5126203894615173,0.48677894473075867
8,"[13, 21]",,,
9,"[6, 17]",,,
10,"[22, 17]",52.0,0.5239120125770569,0.47550299763679504
11,"[14, 21]",63.0,0.5020137429237366,0.49680668115615845
12,"[6, 9]",,,
13,"[20, 23]",,,
14,"[20, 22]",32.0,0.5290609002113342,0.4700137972831726
15,"[12, 20]",46.0,0.5327949523925781,0.46560540795326233
16,"[18, 22]",,,
17,"[20, 21]",36.0,0.5113139152526855,0.48829013109207153
18,"[25, 18]",33.0,0.5042386054992676,0.4952426850795746
19,"[21, 18]",54.0,0.5019376873970032,0.4972423017024994
20,"[5, 16]",,,
21,"[23, 5]",,,
22,"[24, 19]",27.0,0.538555383682251,0.4610736072063446
23,"[4, 16]",,,
24,"[14, 22]",42.0,0.5176257491111755,0.48155537247657776
25,"[13, 19]",36.0,0.5260649919509888,0.47291308641433716
26,"[6, 8]",,,
27,"[20, 18]",53.0,0.5121094584465027,0.4869658052921295
28,"[5, 15]",,,
29,"[22, 4]",,,
30,"[19, 22]",29.0,0.5098779201507568,0.4895135760307312
